,/data/provider/renet/2017-12-31/02/3965_2017-12-31_04-53-30_5a47d29a71158.xml
18977005,/data/provider/renet/2017-12-19/14/2085_2017-12-19_16-53-42_5a38a966729fa.xml
12037883,/data/provider/renet/2017-12-18/22/10016453_2017-12-19_00-53-48_5a37c86c30ce5.xml
19475205,/data/provider/renet/2017-12-18/18/71-334_2017-12-18_20-54-36_5a37905c5b2ec.xml
18306695,/data/provider/renet/2017-12-21/18/10047385_2017-12-21_20-54-56_5a3b84f04e231.xml
19398585,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19400555,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
9159123,/data/provider/renet/2017-12-01/10/1072_2017-12-01_12-54-15_5a20b6477991d.xml
19402105,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19398595,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19107025,/data/provider/renet/2017-12-18/10/2085_2017-12-18_12-53-31_5a371f9bcb1c7.xml
19178565,/data/provider/renet/2017-12-06/14/10015302_2017-12-06_16-56-05_5a27867566aa7.xml
18610995,/data/provider/renet/2017-12-17/14/10016383_2017-12-17_16-54-10_5a3606826a666.xml
19400565,/data/provider/renet/2017-12-14/10/71-334_2017-12-14_12-57-30_5a31da8a06b5d.xml
17641625,/data/provider/renet/2017-12-12/14/627_2017-12-12_16-53-07_5a2f6ec38af3f.xml
19322485,/data/provider/renet/2017-12-27/18/10016383_2017-12-27_20-54-28_5a436dd4e6cda.xml
18888335,/data/provider/renet/2017-12-22/14/2085_2017-12-22_16-54-01_5a3c9df932d5e.xml
19402115,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
15722925,/data/provider/renet/2017-12-22/10/7042_2017-12-22_12-54-48_5a3c65e89f6a2.xml
19398575,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19402125,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
18338275,/data/provider/renet/2017-12-21/14/2085_2017-12-21_16-53-41_5a3b4c65864fe.xml
18749385,/data/provider/renet/2017-12-21/10/71-336_2017-12-21_12-56-34_5a3b14d2eaa61.xml
19400585,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19400785,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
18524055,/data/provider/renet/2017-12-19/10/1026_2017-12-19_12-54-16_5a387148ce257.xml
19206075,/data/provider/renet/2017-12-06/06/23458_2017-12-06_08-53-36_5a271560dc53e.xml
19241665,/data/provider/renet/2017-12-29/22/2085_2017-12-30_00-53-20_5a4648d0ddcf6.xml
19398415,/data/provider/renet/2017-12-29/22/71-334_2017-12-30_00-54-00_5a4648f8ef3e4.xml
19400775,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19398405,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19240555,/data/provider/renet/2017-12-16/18/1072_2017-12-16_20-53-56_5a34ed3422b63.xml
